ID	X	Y	slope
92	64.1875	46.1875	0.000336
93	64.3125	46.1875	0.000626
94	64.4375	46.1875	0.000590
95	64.5625	46.1875	0.003774
96	64.6875	46.1875	0.004677
97	64.8125	46.1875	0.002613
98	60.8125	46.0625	0.000391
99	60.9375	46.0625	0.000936
100	61.0625	46.0625	0.001102
101	61.1875	46.0625	0.000567
102	61.3125	46.0625	0.000449
103	61.4375	46.0625	0.000106
104	61.5625	46.0625	0.000250
105	61.6875	46.0625	0.000315
106	61.8125	46.0625	0.000363
107	61.9375	46.0625	0.000154
108	62.0625	46.0625	0.000075
109	62.1875	46.0625	0.000193
110	62.3125	46.0625	0.000525
111	62.4375	46.0625	0.000543
112	62.5625	46.0625	0.000404
113	62.6875	46.0625	0.000414
114	62.8125	46.0625	0.000942
115	62.9375	46.0625	0.000843
116	63.0625	46.0625	0.000229
117	63.1875	46.0625	0.000056
118	63.3125	46.0625	0.000179
119	63.4375	46.0625	0.000412
120	63.5625	46.0625	0.000556
121	63.6875	46.0625	0.000419
122	63.8125	46.0625	0.000508
123	63.9375	46.0625	0.000631
124	64.0625	46.0625	0.000652
125	64.1875	46.0625	0.000360
126	64.3125	46.0625	0.000734
127	64.4375	46.0625	0.000823
128	64.5625	46.0625	0.002109
129	64.6875	46.0625	0.003271
130	64.8125	46.0625	0.002145
131	61.0625	45.9375	0.000772
132	61.1875	45.9375	0.000610
133	61.3125	45.9375	0.000570
134	61.4375	45.9375	0.000171
135	61.5625	45.9375	0.000156
136	61.6875	45.9375	0.000072
137	61.8125	45.9375	0.000123
138	61.9375	45.9375	0.000220
139	62.0625	45.9375	0.000145
140	62.1875	45.9375	0.000240
141	62.3125	45.9375	0.000418
142	62.4375	45.9375	0.000325
143	62.5625	45.9375	0.000391
144	62.6875	45.9375	0.000564
145	62.8125	45.9375	0.000727
146	62.9375	45.9375	0.000740
147	63.0625	45.9375	0.000571
148	63.1875	45.9375	0.000402
149	63.3125	45.9375	0.000375
150	63.4375	45.9375	0.000403
151	63.5625	45.9375	0.000135
152	63.6875	45.9375	0.000256
153	63.8125	45.9375	0.000458
154	63.9375	45.9375	0.000851
155	64.0625	45.9375	0.001114
156	64.1875	45.9375	0.001047
157	64.3125	45.9375	0.000907
158	64.4375	45.9375	0.000625
159	64.5625	45.9375	0.000795
160	64.6875	45.9375	0.001762
161	64.8125	45.9375	0.001135
162	65.1875	45.9375	0.001898
163	61.5625	45.8125	0.000074
164	61.6875	45.8125	0.000096
165	61.8125	45.8125	0.000028
166	61.9375	45.8125	0.000203
167	62.0625	45.8125	0.000340
168	62.1875	45.8125	0.000340
169	62.3125	45.8125	0.000382
170	62.4375	45.8125	0.000433
171	62.5625	45.8125	0.000404
172	62.6875	45.8125	0.000321
173	62.8125	45.8125	0.000421
174	62.9375	45.8125	0.000476
175	63.0625	45.8125	0.000500
176	63.1875	45.8125	0.000463
177	63.3125	45.8125	0.000400
178	63.4375	45.8125	0.000467
179	63.5625	45.8125	0.000494
180	63.6875	45.8125	0.000351
181	63.8125	45.8125	0.000284
182	63.9375	45.8125	0.000524
183	64.0625	45.8125	0.000861
184	64.1875	45.8125	0.000377
185	64.3125	45.8125	0.000317
186	64.4375	45.8125	0.000078
187	64.5625	45.8125	0.000231
188	64.6875	45.8125	0.000613
189	64.8125	45.8125	0.001118
190	64.9375	45.8125	0.001502
191	65.0625	45.8125	0.001741
192	65.1875	45.8125	0.001825
193	61.6875	45.6875	0.000159
194	61.8125	45.6875	0.000093
195	61.9375	45.6875	0.000260
196	62.0625	45.6875	0.000452
197	62.1875	45.6875	0.000404
198	62.3125	45.6875	0.000357
199	62.4375	45.6875	0.000426
200	62.5625	45.6875	0.000315
201	62.6875	45.6875	0.000163
202	62.8125	45.6875	0.000260
203	62.9375	45.6875	0.000321
204	63.0625	45.6875	0.000229
205	63.1875	45.6875	0.000319
206	63.3125	45.6875	0.000186
207	63.4375	45.6875	0.000214
208	63.5625	45.6875	0.000470
209	63.6875	45.6875	0.000064
210	63.8125	45.6875	0.000311
211	63.9375	45.6875	0.000648
212	64.0625	45.6875	0.000737
213	64.1875	45.6875	0.000488
214	64.3125	45.6875	0.000399
215	64.4375	45.6875	0.000163
216	64.5625	45.6875	0.000228
217	64.6875	45.6875	0.000190
218	64.8125	45.6875	0.000184
219	64.9375	45.6875	0.000312
220	65.0625	45.6875	0.000224
221	65.1875	45.6875	0.000099
222	65.3125	45.6875	0.000183
223	65.5625	45.6875	0.001078
224	65.6875	45.6875	0.000715
225	66.3125	45.6875	0.000782
226	66.4375	45.6875	0.000856
227	66.5625	45.6875	0.000424
228	61.6875	45.5625	0.000148
229	61.8125	45.5625	0.000177
230	61.9375	45.5625	0.000289
231	62.5625	45.5625	0.000258
232	62.6875	45.5625	0.000233
233	62.8125	45.5625	0.000271
234	62.9375	45.5625	0.000243
235	63.0625	45.5625	0.000118
236	63.1875	45.5625	0.000160
237	63.3125	45.5625	0.000260
238	63.4375	45.5625	0.000270
239	63.5625	45.5625	0.000268
240	63.6875	45.5625	0.000178
241	63.8125	45.5625	0.000087
242	63.9375	45.5625	0.000302
243	64.0625	45.5625	0.000473
244	64.1875	45.5625	0.000431
245	64.3125	45.5625	0.000099
246	64.4375	45.5625	0.000175
247	64.5625	45.5625	0.000340
248	64.6875	45.5625	0.000226
249	64.8125	45.5625	0.000144
250	64.9375	45.5625	0.000191
251	65.0625	45.5625	0.000150
252	65.1875	45.5625	0.000162
253	65.3125	45.5625	0.000212
254	65.4375	45.5625	0.000417
255	65.5625	45.5625	0.000742
256	65.6875	45.5625	0.000868
257	65.8125	45.5625	0.000827
258	66.0625	45.5625	0.001364
259	66.1875	45.5625	0.001351
260	66.3125	45.5625	0.001281
261	66.4375	45.5625	0.001176
262	66.5625	45.5625	0.001020
263	62.9375	45.4375	0.000270
264	63.0625	45.4375	0.000193
265	63.8125	45.4375	0.000150
266	63.9375	45.4375	0.000209
267	64.0625	45.4375	0.000214
268	64.1875	45.4375	0.000217
269	64.3125	45.4375	0.000180
270	64.4375	45.4375	0.000207
271	64.5625	45.4375	0.000348
272	64.6875	45.4375	0.000195
273	64.8125	45.4375	0.000128
274	64.9375	45.4375	0.000130
275	65.0625	45.4375	0.000111
276	65.1875	45.4375	0.000194
277	65.3125	45.4375	0.000232
278	65.4375	45.4375	0.000177
279	65.5625	45.4375	0.000161
280	65.6875	45.4375	0.000213
281	65.8125	45.4375	0.000190
282	65.9375	45.4375	0.000225
283	66.0625	45.4375	0.000475
284	66.1875	45.4375	0.000687
285	66.3125	45.4375	0.000832
286	66.4375	45.4375	0.000870
287	66.5625	45.4375	0.000791
288	66.6875	45.4375	0.000750
289	63.8125	45.3125	0.000156
290	63.9375	45.3125	0.000189
291	64.0625	45.3125	0.000130
292	64.1875	45.3125	0.000153
293	64.3125	45.3125	0.000196
294	64.4375	45.3125	0.000197
295	64.5625	45.3125	0.000212
296	64.6875	45.3125	0.000207
297	64.8125	45.3125	0.000244
298	64.9375	45.3125	0.000255
299	65.0625	45.3125	0.000286
300	65.1875	45.3125	0.000334
301	65.3125	45.3125	0.000320
302	65.4375	45.3125	0.000238
303	65.5625	45.3125	0.000186
304	65.6875	45.3125	0.000225
305	65.8125	45.3125	0.000300
306	65.9375	45.3125	0.000297
307	66.0625	45.3125	0.000254
308	66.1875	45.3125	0.000231
309	66.3125	45.3125	0.000087
310	66.4375	45.3125	0.000108
311	66.5625	45.3125	0.000183
312	64.0625	45.1875	0.000201
313	64.1875	45.1875	0.000212
314	64.3125	45.1875	0.000152
315	64.4375	45.1875	0.000150
316	64.5625	45.1875	0.000240
317	64.6875	45.1875	0.000333
318	64.8125	45.1875	0.000334
319	64.9375	45.1875	0.000261
320	65.0625	45.1875	0.000199
321	65.1875	45.1875	0.000183
322	65.3125	45.1875	0.000129
323	65.4375	45.1875	0.000109
324	65.5625	45.1875	0.000161
325	65.6875	45.1875	0.000214
326	65.8125	45.1875	0.000230
327	65.9375	45.1875	0.000227
328	66.0625	45.1875	0.000233
329	66.1875	45.1875	0.000243
330	66.3125	45.1875	0.000296
331	66.4375	45.1875	0.000313
332	66.5625	45.1875	0.000321
333	64.3125	45.0625	0.000192
334	64.4375	45.0625	0.000188
335	64.5625	45.0625	0.000270
336	64.6875	45.0625	0.000254
337	64.8125	45.0625	0.000227
338	64.9375	45.0625	0.000195
339	65.0625	45.0625	0.000175
340	65.1875	45.0625	0.000165
341	65.3125	45.0625	0.000113
342	65.4375	45.0625	0.000134
343	65.5625	45.0625	0.000226
344	65.6875	45.0625	0.000241
345	65.8125	45.0625	0.000195
346	65.9375	45.0625	0.000182
347	66.0625	45.0625	0.000225
348	66.1875	45.0625	0.000237
349	66.3125	45.0625	0.000251
350	66.4375	45.0625	0.000329
351	66.5625	45.0625	0.000281
352	66.6875	45.0625	0.000316
353	64.5625	44.9375	0.000246
354	64.6875	44.9375	0.000184
355	64.8125	44.9375	0.000178
356	64.9375	44.9375	0.000216
357	65.0625	44.9375	0.000258
358	65.1875	44.9375	0.000233
359	65.3125	44.9375	0.000259
360	65.4375	44.9375	0.000259
361	65.5625	44.9375	0.000239
362	65.6875	44.9375	0.000165
363	65.8125	44.9375	0.000145
364	65.9375	44.9375	0.000237
365	66.0625	44.9375	0.000229
366	66.1875	44.9375	0.000232
367	66.3125	44.9375	0.000209
368	66.4375	44.9375	0.000196
369	66.5625	44.9375	0.000240
370	66.6875	44.9375	0.000299
371	66.8125	44.9375	0.000949
372	64.8125	44.8125	0.000163
373	65.3125	44.8125	0.000232
374	65.4375	44.8125	0.000159
375	65.5625	44.8125	0.000219
376	65.6875	44.8125	0.000214
377	65.8125	44.8125	0.000179
378	65.9375	44.8125	0.000347
379	66.0625	44.8125	0.000291
380	66.1875	44.8125	0.000190
381	66.3125	44.8125	0.000201
382	66.4375	44.8125	0.000186
383	66.5625	44.8125	0.000145
384	66.6875	44.8125	0.000176
385	66.8125	44.8125	0.001287
386	66.9375	44.8125	0.005127
387	67.0625	44.8125	0.007987
388	65.4375	44.6875	0.000296
389	65.5625	44.6875	0.000260
390	65.6875	44.6875	0.000262
391	65.8125	44.6875	0.000247
392	65.9375	44.6875	0.000251
393	66.0625	44.6875	0.000267
394	66.1875	44.6875	0.000119
395	66.3125	44.6875	0.000229
396	66.4375	44.6875	0.000238
397	66.5625	44.6875	0.000217
398	66.6875	44.6875	0.000358
399	66.8125	44.6875	0.002559
400	66.9375	44.6875	0.007282
401	67.0625	44.6875	0.008753
402	67.1875	44.6875	0.007798
403	65.6875	44.5625	0.000244
404	65.8125	44.5625	0.000252
405	65.9375	44.5625	0.000353
406	66.0625	44.5625	0.000347
407	66.1875	44.5625	0.000184
408	66.3125	44.5625	0.000165
409	66.4375	44.5625	0.000225
410	66.5625	44.5625	0.000237
411	66.6875	44.5625	0.000579
412	66.8125	44.5625	0.003520
413	66.9375	44.5625	0.004934
414	67.0625	44.5625	0.007036
415	67.1875	44.5625	0.012617
416	67.3125	44.5625	0.010246
417	65.8125	44.4375	0.000239
418	65.9375	44.4375	0.000303
419	66.0625	44.4375	0.000319
420	66.1875	44.4375	0.000295
421	66.3125	44.4375	0.000159
422	66.4375	44.4375	0.000230
423	66.5625	44.4375	0.000339
424	66.6875	44.4375	0.000604
425	66.8125	44.4375	0.002606
426	66.9375	44.4375	0.002987
427	67.0625	44.4375	0.004159
428	67.1875	44.4375	0.011009
429	67.3125	44.4375	0.015506
430	67.4375	44.4375	0.008002
431	66.0625	44.3125	0.000165
432	66.1875	44.3125	0.000132
433	66.3125	44.3125	0.000286
434	66.4375	44.3125	0.000252
435	66.5625	44.3125	0.000425
436	66.6875	44.3125	0.000492
437	66.8125	44.3125	0.000739
438	66.9375	44.3125	0.000654
439	67.0625	44.3125	0.001305
440	67.1875	44.3125	0.006010
441	67.3125	44.3125	0.010671
442	67.4375	44.3125	0.012225
443	67.5625	44.3125	0.012347
444	67.6875	44.3125	0.010200
445	67.8125	44.3125	0.012401
446	66.1875	44.1875	0.000186
447	66.3125	44.1875	0.000173
448	66.4375	44.1875	0.000205
449	66.5625	44.1875	0.000266
450	66.6875	44.1875	0.000387
451	66.8125	44.1875	0.000181
452	66.9375	44.1875	0.000165
453	67.0625	44.1875	0.000830
454	67.1875	44.1875	0.003081
455	67.3125	44.1875	0.006574
456	67.4375	44.1875	0.010149
457	67.5625	44.1875	0.014662
458	67.6875	44.1875	0.016698
459	67.8125	44.1875	0.010252
460	67.9375	44.1875	0.003714
461	66.3125	44.0625	0.000236
462	66.4375	44.0625	0.000204
463	66.5625	44.0625	0.000184
464	66.6875	44.0625	0.000245
465	66.8125	44.0625	0.000228
466	66.9375	44.0625	0.000266
467	67.0625	44.0625	0.000355
468	67.1875	44.0625	0.001581
469	67.3125	44.0625	0.004510
470	67.4375	44.0625	0.007979
471	67.5625	44.0625	0.013718
472	67.6875	44.0625	0.017049
473	67.8125	44.0625	0.014682
474	67.9375	44.0625	0.012191
475	68.0625	44.0625	0.006912
476	66.4375	43.9375	0.000325
477	66.5625	43.9375	0.000229
478	66.6875	43.9375	0.000216
479	66.8125	43.9375	0.000270
480	66.9375	43.9375	0.000384
481	67.0625	43.9375	0.000275
482	67.1875	43.9375	0.000651
483	67.3125	43.9375	0.002514
484	67.4375	43.9375	0.004888
485	67.5625	43.9375	0.009398
486	67.6875	43.9375	0.013859
487	67.8125	43.9375	0.014629
488	67.9375	43.9375	0.014606
489	68.0625	43.9375	0.014954
490	68.1875	43.9375	0.019153
491	68.3125	43.9375	0.016279
492	66.5625	43.8125	0.000406
493	66.6875	43.8125	0.000317
494	66.8125	43.8125	0.000247
495	66.9375	43.8125	0.000361
496	67.0625	43.8125	0.000302
497	67.1875	43.8125	0.000267
498	67.3125	43.8125	0.000857
499	67.4375	43.8125	0.002717
500	67.5625	43.8125	0.005868
501	67.6875	43.8125	0.008260
502	67.8125	43.8125	0.011161
503	67.9375	43.8125	0.014464
504	68.0625	43.8125	0.015765
505	68.1875	43.8125	0.019687
506	68.3125	43.8125	0.026293
507	68.4375	43.8125	0.029123
508	68.5625	43.8125	0.028447
509	68.6875	43.8125	0.017885
510	66.5625	43.6875	0.000718
511	66.6875	43.6875	0.000729
512	66.8125	43.6875	0.000643
513	66.9375	43.6875	0.000462
514	67.0625	43.6875	0.000315
515	67.1875	43.6875	0.000183
516	67.3125	43.6875	0.000165
517	67.4375	43.6875	0.001143
518	67.5625	43.6875	0.003419
519	67.6875	43.6875	0.004492
520	67.8125	43.6875	0.005156
521	67.9375	43.6875	0.007330
522	68.0625	43.6875	0.009970
523	68.1875	43.6875	0.013755
524	68.3125	43.6875	0.018331
525	68.4375	43.6875	0.020954
526	68.5625	43.6875	0.022979
527	68.6875	43.6875	0.023933
528	68.8125	43.6875	0.017900
529	68.9375	43.6875	0.009830
530	66.8125	43.5625	0.000770
531	66.9375	43.5625	0.000675
532	67.0625	43.5625	0.000451
533	67.1875	43.5625	0.000210
534	67.3125	43.5625	0.000179
535	67.4375	43.5625	0.000208
536	67.5625	43.5625	0.001007
537	67.6875	43.5625	0.001945
538	67.8125	43.5625	0.002799
539	67.9375	43.5625	0.004012
540	68.0625	43.5625	0.005018
541	68.1875	43.5625	0.006668
542	68.3125	43.5625	0.009154
543	68.4375	43.5625	0.011502
544	68.5625	43.5625	0.013928
545	68.6875	43.5625	0.017604
546	68.8125	43.5625	0.019439
547	68.9375	43.5625	0.018985
548	69.0625	43.5625	0.014841
549	66.9375	43.4375	0.000519
550	67.0625	43.4375	0.000509
551	67.1875	43.4375	0.000374
552	67.3125	43.4375	0.000278
553	67.4375	43.4375	0.000304
554	67.5625	43.4375	0.000267
555	67.6875	43.4375	0.000395
556	67.8125	43.4375	0.001220
557	67.9375	43.4375	0.001933
558	68.0625	43.4375	0.002261
559	68.1875	43.4375	0.002835
560	68.3125	43.4375	0.004147
561	68.4375	43.4375	0.006167
562	68.5625	43.4375	0.008001
563	68.6875	43.4375	0.009588
564	68.8125	43.4375	0.010458
565	68.9375	43.4375	0.012181
566	69.0625	43.4375	0.014490
567	69.1875	43.4375	0.014640
568	69.3125	43.4375	0.011706
569	69.4375	43.4375	0.008194
570	69.5625	43.4375	0.012036
571	69.6875	43.4375	0.015043
572	67.0625	43.3125	0.000357
573	67.1875	43.3125	0.000255
574	67.3125	43.3125	0.000324
575	67.4375	43.3125	0.000338
576	67.5625	43.3125	0.000279
577	67.6875	43.3125	0.000279
578	67.8125	43.3125	0.000233
579	67.9375	43.3125	0.000638
580	68.0625	43.3125	0.000937
581	68.1875	43.3125	0.001166
582	68.3125	43.3125	0.001659
583	68.4375	43.3125	0.002770
584	68.5625	43.3125	0.004289
585	68.6875	43.3125	0.005689
586	68.8125	43.3125	0.005829
587	68.9375	43.3125	0.005500
588	69.0625	43.3125	0.006073
589	69.1875	43.3125	0.007623
590	69.3125	43.3125	0.008093
591	69.4375	43.3125	0.008333
592	69.5625	43.3125	0.012740
593	69.6875	43.3125	0.019278
594	69.8125	43.3125	0.016510
595	69.9375	43.3125	0.004799
596	67.0625	43.1875	0.000203
597	67.1875	43.1875	0.000154
598	67.3125	43.1875	0.000273
599	67.4375	43.1875	0.000246
600	67.5625	43.1875	0.000227
601	67.6875	43.1875	0.000261
602	67.8125	43.1875	0.000290
603	67.9375	43.1875	0.000236
604	68.0625	43.1875	0.000299
605	68.1875	43.1875	0.000350
606	68.3125	43.1875	0.000305
607	68.4375	43.1875	0.000622
608	68.5625	43.1875	0.001674
609	68.6875	43.1875	0.002876
610	68.8125	43.1875	0.003183
611	68.9375	43.1875	0.003243
612	69.0625	43.1875	0.003931
613	69.1875	43.1875	0.004841
614	69.3125	43.1875	0.005242
615	69.4375	43.1875	0.006552
616	69.5625	43.1875	0.011136
617	69.6875	43.1875	0.017588
618	69.8125	43.1875	0.017464
619	69.9375	43.1875	0.013786
620	70.0625	43.1875	0.005270
621	67.0625	43.0625	0.000106
622	67.1875	43.0625	0.000255
623	67.3125	43.0625	0.000298
624	67.4375	43.0625	0.000231
625	67.5625	43.0625	0.000226
626	67.6875	43.0625	0.000268
627	67.8125	43.0625	0.000316
628	67.9375	43.0625	0.000322
629	68.0625	43.0625	0.000238
630	68.1875	43.0625	0.000263
631	68.3125	43.0625	0.000299
632	68.4375	43.0625	0.000309
633	68.5625	43.0625	0.000674
634	68.6875	43.0625	0.001330
635	68.8125	43.0625	0.001782
636	68.9375	43.0625	0.002327
637	69.0625	43.0625	0.003222
638	69.1875	43.0625	0.003991
639	69.3125	43.0625	0.004034
640	69.4375	43.0625	0.004374
641	69.5625	43.0625	0.008144
642	69.6875	43.0625	0.015760
643	69.8125	43.0625	0.020065
644	69.9375	43.0625	0.015013
645	70.0625	43.0625	0.005028
646	70.1875	43.0625	0.001609
647	70.3125	43.0625	0.005949
648	70.4375	43.0625	0.016175
649	66.9375	42.9375	0.000078
650	67.0625	42.9375	0.000205
651	67.1875	42.9375	0.000285
652	67.3125	42.9375	0.000296
653	67.4375	42.9375	0.000246
654	67.5625	42.9375	0.000221
655	67.6875	42.9375	0.000259
656	67.8125	42.9375	0.000268
657	67.9375	42.9375	0.000312
658	68.0625	42.9375	0.000342
659	68.1875	42.9375	0.000280
660	68.3125	42.9375	0.000380
661	68.4375	42.9375	0.000436
662	68.5625	42.9375	0.000784
663	68.6875	42.9375	0.001240
664	68.8125	42.9375	0.001664
665	68.9375	42.9375	0.001969
666	69.0625	42.9375	0.002658
667	69.1875	42.9375	0.002937
668	69.3125	42.9375	0.003454
669	69.4375	42.9375	0.004796
670	69.5625	42.9375	0.006608
671	69.6875	42.9375	0.014488
672	69.8125	42.9375	0.023611
673	69.9375	42.9375	0.014163
674	70.0625	42.9375	0.003435
675	70.1875	42.9375	0.005742
676	70.3125	42.9375	0.007827
677	70.4375	42.9375	0.002580
678	70.5625	42.9375	0.005403
679	66.9375	42.8125	0.000125
680	67.0625	42.8125	0.000235
681	67.1875	42.8125	0.000255
682	67.3125	42.8125	0.000265
683	67.4375	42.8125	0.000179
684	67.5625	42.8125	0.000238
685	67.6875	42.8125	0.000311
686	67.8125	42.8125	0.000244
687	67.9375	42.8125	0.000259
688	68.0625	42.8125	0.000302
689	68.1875	42.8125	0.000302
690	68.3125	42.8125	0.000495
691	68.4375	42.8125	0.000615
692	68.5625	42.8125	0.000779
693	68.6875	42.8125	0.001209
694	68.8125	42.8125	0.001852
695	68.9375	42.8125	0.002045
696	69.0625	42.8125	0.002476
697	69.1875	42.8125	0.002753
698	69.3125	42.8125	0.003587
699	69.4375	42.8125	0.004672
700	69.5625	42.8125	0.005637
701	69.6875	42.8125	0.010980
702	69.8125	42.8125	0.019536
703	69.9375	42.8125	0.019870
704	70.0625	42.8125	0.017424
705	70.1875	42.8125	0.017499
706	70.3125	42.8125	0.015337
707	70.4375	42.8125	0.007019
708	70.5625	42.8125	0.004746
709	66.9375	42.6875	0.000196
710	67.0625	42.6875	0.000225
711	67.1875	42.6875	0.000243
712	67.3125	42.6875	0.000288
713	67.4375	42.6875	0.000319
714	67.5625	42.6875	0.000507
715	67.6875	42.6875	0.000561
716	67.8125	42.6875	0.000437
717	67.9375	42.6875	0.000254
718	68.0625	42.6875	0.000241
719	68.1875	42.6875	0.000246
720	68.3125	42.6875	0.000464
721	68.4375	42.6875	0.000535
722	68.5625	42.6875	0.000865
723	68.6875	42.6875	0.001296
724	68.8125	42.6875	0.001742
725	68.9375	42.6875	0.002060
726	69.0625	42.6875	0.002133
727	69.1875	42.6875	0.002687
728	69.3125	42.6875	0.003660
729	69.4375	42.6875	0.004384
730	69.5625	42.6875	0.005121
731	69.6875	42.6875	0.006532
732	69.8125	42.6875	0.009175
733	69.9375	42.6875	0.009296
734	70.0625	42.6875	0.009558
735	70.1875	42.6875	0.013149
736	70.3125	42.6875	0.013408
737	70.4375	42.6875	0.013670
738	67.1875	42.5625	0.000840
739	67.3125	42.5625	0.000891
740	67.4375	42.5625	0.001003
741	67.5625	42.5625	0.001668
742	67.6875	42.5625	0.001573
743	67.8125	42.5625	0.001482
744	67.9375	42.5625	0.000509
745	68.0625	42.5625	0.000325
746	68.1875	42.5625	0.000341
747	68.3125	42.5625	0.000289
748	68.4375	42.5625	0.000561
749	68.5625	42.5625	0.001499
750	68.6875	42.5625	0.001990
751	68.8125	42.5625	0.001901
752	68.9375	42.5625	0.002479
753	69.0625	42.5625	0.003117
754	69.1875	42.5625	0.003813
755	69.3125	42.5625	0.004609
756	69.4375	42.5625	0.005594
757	69.5625	42.5625	0.007048
758	69.6875	42.5625	0.008946
759	69.8125	42.5625	0.012079
760	69.9375	42.5625	0.015552
761	70.0625	42.5625	0.019632
762	70.1875	42.5625	0.023722
763	70.3125	42.5625	0.029337
764	70.4375	42.5625	0.042374
765	70.5625	42.5625	0.061833
766	70.6875	42.5625	0.069875
767	67.4375	42.4375	0.002113
768	67.5625	42.4375	0.002336
769	67.6875	42.4375	0.001361
770	67.8125	42.4375	0.001918
771	67.9375	42.4375	0.000572
772	68.0625	42.4375	0.000237
773	68.1875	42.4375	0.000292
774	68.3125	42.4375	0.000851
775	68.4375	42.4375	0.001871
776	68.5625	42.4375	0.003352
777	68.6875	42.4375	0.003678
778	68.8125	42.4375	0.003372
779	68.9375	42.4375	0.003837
780	69.0625	42.4375	0.004969
781	69.1875	42.4375	0.005502
782	69.3125	42.4375	0.005526
783	69.4375	42.4375	0.006454
784	69.5625	42.4375	0.008334
785	69.6875	42.4375	0.010381
786	69.8125	42.4375	0.012994
787	69.9375	42.4375	0.017724
788	70.0625	42.4375	0.024182
789	70.1875	42.4375	0.028314
790	70.3125	42.4375	0.039682
791	70.4375	42.4375	0.061031
792	70.5625	42.4375	0.063694
793	70.6875	42.4375	0.042550
794	70.8125	42.4375	0.025495
795	74.1875	42.4375	0.029150
796	74.3125	42.4375	0.015663
797	74.4375	42.4375	0.012072
798	74.5625	42.4375	0.019923
799	74.6875	42.4375	0.022579
800	74.8125	42.4375	0.016190
801	67.5625	42.3125	0.000164
802	67.6875	42.3125	0.001608
803	67.8125	42.3125	0.001502
804	67.9375	42.3125	0.000342
805	68.0625	42.3125	0.000329
806	68.1875	42.3125	0.000782
807	68.3125	42.3125	0.002357
808	68.4375	42.3125	0.003455
809	68.5625	42.3125	0.004520
810	68.6875	42.3125	0.004489
811	68.8125	42.3125	0.004078
812	68.9375	42.3125	0.004331
813	69.0625	42.3125	0.005357
814	69.1875	42.3125	0.006030
815	69.3125	42.3125	0.006784
816	69.4375	42.3125	0.010129
817	69.5625	42.3125	0.015803
818	69.6875	42.3125	0.017314
819	69.8125	42.3125	0.017703
820	69.9375	42.3125	0.035487
821	70.0625	42.3125	0.048991
822	70.1875	42.3125	0.053370
